text_description,genre
"Create a uplifting classical piece with violin played at a slow tempo, suitable for meditation.",Classical
"Create a uplifting classical piece with cello played at a fast tempo, suitable for study.",Classical
"Create a uplifting classical piece with orchestra played at a medium tempo, suitable for a rainy evening.",Classical
"Create a calm classical piece with orchestra played at a fast tempo, suitable for workout.",Classical
"Create a dark classical piece with cello played at a fast tempo, suitable for workout.",Classical
"Create a energetic classical piece with violin played at a fast tempo, suitable for relaxation.",Classical
"Create a calm classical piece with cello played at a medium tempo, suitable for meditation.",Classical
"Create a dark classical piece with orchestra played at a fast tempo, suitable for study.",Classical
"Create a calm classical piece with violin played at a fast tempo, suitable for a party.",Classical
"Create a romantic classical piece with cello played at a medium tempo, suitable for workout.",Classical
"Create a energetic classical piece with cello played at a slow tempo, suitable for meditation.",Classical
"Create a dark classical piece with piano played at a slow tempo, suitable for meditation.",Classical
"Create a calm classical piece with violin played at a slow tempo, suitable for relaxation.",Classical
"Create a uplifting classical piece with cello played at a fast tempo, suitable for a rainy evening.",Classical
"Create a uplifting classical piece with cello played at a fast tempo, suitable for relaxation.",Classical
"Create a dark classical piece with violin played at a medium tempo, suitable for a rainy evening.",Classical
"Create a calm classical piece with orchestra played at a fast tempo, suitable for a party.",Classical
"Create a romantic classical piece with piano played at a medium tempo, suitable for meditation.",Classical
"Create a energetic classical piece with violin played at a medium tempo, suitable for a rainy evening.",Classical
"Create a calm classical piece with piano played at a slow tempo, suitable for workout.",Classical
"Create a emotional classical piece with violin played at a slow tempo, suitable for relaxation.",Classical
"Create a dark classical piece with orchestra played at a slow tempo, suitable for study.",Classical
"Create a romantic classical piece with piano played at a slow tempo, suitable for a rainy evening.",Classical
"Create a romantic classical piece with orchestra played at a medium tempo, suitable for a party.",Classical
"Create a romantic classical piece with piano played at a fast tempo, suitable for meditation.",Classical
"Create a emotional classical piece with orchestra played at a slow tempo, suitable for study.",Classical
"Create a calm classical piece with orchestra played at a medium tempo, suitable for relaxation.",Classical
"Create a dark classical piece with cello played at a medium tempo, suitable for meditation.",Classical
"Create a calm classical piece with cello played at a medium tempo, suitable for a party.",Classical
"Create a dark classical piece with violin played at a fast tempo, suitable for relaxation.",Classical
"Create a calm classical piece with piano played at a fast tempo, suitable for relaxation.",Classical
"Create a calm classical piece with orchestra played at a fast tempo, suitable for a party.",Classical
"Create a uplifting classical piece with cello played at a medium tempo, suitable for a rainy evening.",Classical
"Create a energetic classical piece with piano played at a slow tempo, suitable for a rainy evening.",Classical
"Create a uplifting classical piece with piano played at a fast tempo, suitable for workout.",Classical
"Create a romantic classical piece with orchestra played at a fast tempo, suitable for a rainy evening.",Classical
"Create a calm classical piece with piano played at a slow tempo, suitable for a rainy evening.",Classical
"Create a uplifting classical piece with violin played at a slow tempo, suitable for a party.",Classical
"Create a emotional classical piece with cello played at a slow tempo, suitable for relaxation.",Classical
"Create a energetic classical piece with cello played at a fast tempo, suitable for meditation.",Classical
